date,period_id,metric,pct
2023-09-24,31,current_v1_goods_services,3.7
2023-10-08,32,current_v1_goods_services,3.7
2023-10-22,33,current_v1_goods_services,3.8
2023-11-05,34,current_v1_goods_services,3.9
2023-11-19,35,current_v1_goods_services,4.4
2023-12-03,36,current_v1_goods_services,4.6
2023-12-17,37,current_v1_goods_services,4.9
2023-12-31,38,current_v1_goods_services,4.9
2024-01-14,39,current_v1_goods_services,4.6
2024-01-28,40,current_v1_goods_services,5.3
2024-02-11,41,current_v1_goods_services,5.0
2024-02-25,42,current_v1_goods_services,5.4
2024-03-10,43,current_v1_goods_services,4.3
2024-03-24,44,current_v1_goods_services,4.4
2024-04-07,45,current_v1_goods_services,4.2
2024-04-21,46,current_v1_goods_services,4.8
2024-05-05,47,current_v1_goods_services,4.7
2024-05-19,48,current_v1_goods_services,4.8
2024-06-02,49,current_v1_goods_services,4.6
2024-06-16,50,current_v1_goods_services,5.0
2024-06-30,51,current_v1_goods_services,4.7
2024-07-14,52,current_v1_goods_services,5.0
2024-07-28,53,current_v1_goods_services,5.1
2024-08-11,54,current_v1_goods_services,5.1
2024-08-25,55,current_v1_goods_services,5.5
2024-09-08,56,current_v1_goods_services,5.7
2024-09-22,57,current_v1_goods_services,5.9
2024-10-06,58,current_v1_goods_services,6.0
2024-10-20,59,current_v1_goods_services,6.0
2024-11-03,60,current_v1_goods_services,6.0
2024-11-17,61,current_v1_goods_services,6.1
2024-12-01,62,current_v1_goods_services,6.1
2024-12-15,63,current_v1_goods_services,6.1
2024-12-29,64,current_v1_goods_services,6.3
2025-01-12,65,current_v1_goods_services,6.0
2025-01-26,66,current_v1_goods_services,6.7
2025-02-09,67,current_v1_goods_services,6.8
2025-02-23,68,current_v1_goods_services,7.3
2025-03-09,69,current_v1_goods_services,7.4
2025-03-23,70,current_v1_goods_services,7.8
2025-04-06,71,current_v1_goods_services,8.0
2025-04-20,72,current_v1_goods_services,8.3
2025-05-04,73,current_v1_goods_services,8.7
2025-05-18,74,current_v1_goods_services,8.7
2025-06-01,75,current_v1_goods_services,9.2
2025-06-15,76,current_v1_goods_services,9.2
2025-06-29,77,current_v1_goods_services,9.3
2025-07-13,78,current_v1_goods_services,9.3
2025-07-27,79,current_v1_goods_services,9.4
2025-08-10,80,current_v1_goods_services,8.8
2025-08-24,81,current_v1_goods_services,9.7
2025-09-07,82,current_v1_goods_services,9.1
2025-09-21,83,current_v1_goods_services,9.9
2025-10-05,84,current_v1_goods_services,10.0
2026-03-22,96,current_v1_goods_services,18.9
2025-11-30,88,current_v2_any_function,17.3
2025-12-14,89,current_v2_any_function,17.2
2025-12-28,90,current_v2_any_function,17.8
2026-01-11,91,current_v2_any_function,17.7
2026-01-25,92,current_v2_any_function,18.2
2026-02-08,93,current_v2_any_function,18.9
2026-02-22,94,current_v2_any_function,17.5
2026-03-08,95,current_v2_any_function,18.2
2026-04-05,97,current_v2_any_function,19.1
2026-04-19,98,current_v2_any_function,19.8
2026-05-03,99,current_v2_any_function,19.8
2026-05-17,100,current_v2_any_function,19.5
2026-05-31,101,current_v2_any_function,20.6
2026-06-14,102,current_v2_any_function,20.6
2026-06-28,103,current_v2_any_function,20.6
2026-07-12,104,current_v2_any_function,21.7
2026-07-26,105,current_v2_any_function,21.5
2026-08-09,106,current_v2_any_function,21.8
2023-09-24,31,expected_v1_goods_services,6.3
2023-10-08,32,expected_v1_goods_services,6.3
2023-10-22,33,expected_v1_goods_services,6.5
2023-11-05,34,expected_v1_goods_services,6.5
2023-11-19,35,expected_v1_goods_services,6.9
2023-12-03,36,expected_v1_goods_services,7.3
2023-12-17,37,expected_v1_goods_services,6.5
2023-12-31,38,expected_v1_goods_services,6.7
2024-01-14,39,expected_v1_goods_services,6.4
2024-01-28,40,expected_v1_goods_services,6.5
2024-02-11,41,expected_v1_goods_services,6.6
2024-02-25,42,expected_v1_goods_services,6.6
2024-03-10,43,expected_v1_goods_services,6.4
2024-03-24,44,expected_v1_goods_services,6.7
2024-04-07,45,expected_v1_goods_services,6.6
2024-04-21,46,expected_v1_goods_services,6.8
2024-05-05,47,expected_v1_goods_services,7.0
2024-05-19,48,expected_v1_goods_services,6.9
2024-06-02,49,expected_v1_goods_services,6.6
2024-06-16,50,expected_v1_goods_services,6.8
2024-06-30,51,expected_v1_goods_services,6.9
2024-07-14,52,expected_v1_goods_services,6.9
2024-07-28,53,expected_v1_goods_services,7.2
2024-08-11,54,expected_v1_goods_services,7.0
2024-08-25,55,expected_v1_goods_services,8.1
2024-09-08,56,expected_v1_goods_services,8.5
2024-09-22,57,expected_v1_goods_services,8.7
2024-10-06,58,expected_v1_goods_services,9.1
2024-10-20,59,expected_v1_goods_services,9.0
2024-11-03,60,expected_v1_goods_services,9.3
2024-11-17,61,expected_v1_goods_services,8.7
2024-12-01,62,expected_v1_goods_services,8.9
2024-12-15,63,expected_v1_goods_services,8.8
2024-12-29,64,expected_v1_goods_services,9.2
2025-01-12,65,expected_v1_goods_services,9.5
2025-01-26,66,expected_v1_goods_services,9.4
2025-02-09,67,expected_v1_goods_services,9.3
2025-02-23,68,expected_v1_goods_services,9.8
2025-03-09,69,expected_v1_goods_services,9.9
2025-03-23,70,expected_v1_goods_services,10.5
2025-04-06,71,expected_v1_goods_services,10.5
2025-04-20,72,expected_v1_goods_services,10.9
2025-05-04,73,expected_v1_goods_services,11.0
2025-05-18,74,expected_v1_goods_services,11.0
2025-06-01,75,expected_v1_goods_services,11.6
2025-06-15,76,expected_v1_goods_services,11.6
2025-06-29,77,expected_v1_goods_services,11.7
2025-07-13,78,expected_v1_goods_services,12.3
2025-07-27,79,expected_v1_goods_services,13.5
2025-08-10,80,expected_v1_goods_services,13.0
2025-08-24,81,expected_v1_goods_services,13.7
2025-09-07,82,expected_v1_goods_services,13.8
2025-09-21,83,expected_v1_goods_services,14.0
2025-10-05,84,expected_v1_goods_services,14.0
2025-11-30,88,expected_v2_any_function,21.1
2025-12-14,89,expected_v2_any_function,20.9
2025-12-28,90,expected_v2_any_function,21.3
2026-01-11,91,expected_v2_any_function,22.4
2026-01-25,92,expected_v2_any_function,22.1
2026-02-08,93,expected_v2_any_function,22.1
