date,price_cents_per_kwh
1978-11,4.6
1978-12,4.6
1979-01,4.6
1979-02,4.7
1979-03,4.7
1979-04,4.8
1979-05,4.9
1979-06,5.2
1979-07,5.3
1979-08,5.3
1979-09,5.3
1979-10,5.3
1979-11,5.1
1979-12,5.2
1980-01,5.3
1980-02,5.5
1980-03,5.6
1980-04,5.6
1980-05,5.8
1980-06,6.3
1980-07,6.4
1980-08,6.4
1980-09,6.5
1980-10,6.3
1980-11,6.1
1980-12,6.2
1981-01,6.3
1981-02,6.4
1981-03,6.5
1981-04,6.6
1981-05,6.7
1981-06,7.1
1981-07,7.3
1981-08,7.5
1981-09,7.4
1981-10,7.2
1981-11,7.1
1981-12,7.1
1982-01,7.3
1982-02,7.3
1982-03,7.5
1982-04,7.5
1982-05,7.5
1982-06,7.9
1982-07,7.9
1982-08,7.9
1982-09,7.9
1982-10,7.7
1982-11,7.4
1982-12,7.5
1983-01,7.5
1983-02,7.5
1983-03,7.6
1983-04,7.5
1983-05,7.7
1983-06,8.1
1983-07,8.2
1983-08,8.2
1983-09,8.2
1983-10,8.0
1983-11,7.7
1983-12,7.7
1984-01,7.8
1984-02,7.9
1984-03,7.9
1984-04,8.0
1984-05,8.1
1984-06,8.6
1984-07,8.7
1984-08,8.9
1984-09,8.4
1984-10,8.1
1984-11,7.9
1984-12,7.8
1985-01,7.9
1985-02,7.9
1985-03,7.9
1985-04,8.0
1985-05,8.0
1985-06,8.5
1985-07,8.5
1985-08,8.5
1985-10,8.2
1985-11,8.0
1985-12,8.0
1986-01,8.1
1986-02,7.5
1986-03,7.5
1986-04,7.4
1986-05,7.4
1986-06,8.0
1986-07,8.0
1986-08,8.0
1986-09,8.0
1986-10,7.4
1986-11,7.3
1986-12,7.3
1987-01,7.5
1987-02,7.6
1987-03,7.6
1987-04,7.6
1987-05,7.6
1987-06,8.4
1987-07,8.4
1987-08,8.5
1987-09,8.4
1987-10,7.8
1987-11,7.7
1987-12,7.7
1988-01,7.8
1988-02,7.8
1988-03,7.8
1988-04,7.7
1988-05,7.7
1988-06,8.4
1988-07,8.4
1988-08,8.4
1988-09,8.4
1988-10,8.0
1988-11,7.8
1988-12,7.8
1989-01,7.9
1989-02,7.9
1989-03,7.9
1989-04,7.9
1989-05,8.0
1989-06,8.6
1989-07,8.6
1989-08,8.6
1989-09,8.6
1989-10,8.1
1989-11,8.0
1989-12,8.1
1990-01,8.1
1990-02,8.1
1990-03,8.1
1990-04,8.2
1990-05,8.2
1990-06,8.8
1990-07,8.7
1990-08,8.7
1990-09,8.8
1990-10,8.3
1990-11,8.2
1990-12,8.2
1991-01,8.4
1991-02,8.4
1991-03,8.5
1991-04,8.4
1991-05,8.5
1991-06,9.0
1991-07,9.1
1991-08,9.0
1991-09,9.1
1991-10,8.7
1991-11,8.4
1991-12,8.5
1992-01,8.5
1992-02,8.4
1992-03,8.6
1992-04,8.6
1992-05,8.7
1992-06,9.2
1992-07,9.2
1992-08,9.1
1992-09,9.2
1992-10,8.8
1992-11,8.6
1992-12,8.8
1993-01,8.9
1993-02,8.7
1993-03,8.8
1993-04,8.8
1993-05,9.0
1993-06,9.4
1993-07,9.5
1993-08,9.7
1993-09,9.7
1993-10,9.3
1993-11,9.1
1993-12,9.0
1994-01,9.0
1994-02,9.0
1994-03,8.9
1994-04,8.8
1994-05,9.0
1994-06,9.5
1994-07,9.5
1994-08,9.6
1994-09,9.6
1994-10,9.3
1994-11,9.1
1994-12,9.1
1995-01,9.1
1995-02,9.1
1995-03,9.1
1995-04,9.0
1995-05,9.2
1995-06,9.8
1995-07,9.8
1995-08,9.8
1995-09,9.7
1995-10,9.4
1995-11,9.2
1995-12,9.1
1996-01,9.1
1996-02,9.1
1996-03,9.2
1996-04,9.2
1996-05,9.2
1996-06,9.6
1996-07,9.9
1996-08,9.9
1996-09,9.9
1996-10,9.5
1996-11,9.2
1996-12,9.2
1997-01,9.2
1997-02,9.2
1997-03,9.3
1997-04,9.2
1997-05,9.3
1997-06,9.9
1997-07,9.9
1997-08,9.8
1997-09,9.9
1997-10,9.3
1997-11,9.2
1997-12,9.0
1998-01,8.6
1998-02,8.5
1998-03,8.5
1998-04,8.5
1998-05,8.6
1998-06,9.1
1998-07,9.1
1998-08,9.0
1998-09,8.9
1998-10,8.6
1998-11,8.4
1998-12,8.4
1999-01,8.4
1999-02,8.4
1999-03,8.4
1999-04,8.4
1999-05,8.5
1999-06,8.9
1999-07,9.0
1999-08,8.9
1999-09,9.0
1999-10,8.7
1999-11,8.5
1999-12,8.5
2000-01,8.4
2000-02,8.5
2000-03,8.5
2000-04,8.5
2000-05,8.5
2000-06,9.0
2000-07,9.1
2000-08,9.1
2000-09,9.1
2000-10,8.8
2000-11,8.6
2000-12,8.6
2001-01,8.8
2001-02,8.8
2001-03,8.9
2001-04,8.9
2001-05,9.0
2001-06,9.7
2001-07,9.9
2001-08,9.8
2001-09,9.7
2001-10,9.3
2001-11,9.0
2001-12,9.0
2002-01,8.9
2002-02,8.9
2002-03,8.9
2002-04,8.8
2002-05,8.9
2002-06,9.5
2002-07,9.5
2002-08,9.5
2002-09,9.5
2002-10,9.1
2002-11,8.9
2002-12,8.9
2003-01,8.9
2003-02,8.9
2003-03,8.9
2003-04,9.1
2003-05,9.2
2003-06,9.7
2003-07,9.8
2003-08,9.8
2003-09,9.8
2003-10,9.3
2003-11,9.0
2003-12,9.0
2004-01,9.1
2004-02,9.1
2004-03,9.1
2004-04,9.1
2004-05,9.3
2004-06,9.9
2004-07,9.9
2004-08,10.0
2004-09,9.9
2004-10,9.4
2004-11,9.2
2004-12,9.2
2005-01,9.4
2005-02,9.4
2005-03,9.4
2005-04,9.5
2005-05,9.7
2005-06,10.4
2005-07,10.5
2005-08,10.5
2005-09,10.6
2005-10,10.2
2005-11,10.2
2005-12,10.2
2006-01,10.8
2006-02,10.8
2006-03,10.9
2006-04,10.9
2006-05,11.0
2006-06,11.8
2006-07,11.8
2006-08,11.8
2006-09,11.8
2006-10,11.2
2006-11,11.0
2006-12,11.0
2007-01,11.3
2007-02,11.3
2007-03,11.3
2007-04,11.3
2007-05,11.5
2007-06,12.2
2007-07,12.2
2007-08,12.1
2007-09,12.1
2007-10,11.7
2007-11,11.5
2007-12,11.5
2008-01,11.6
2008-02,11.6
2008-03,11.6
2008-04,11.8
2008-05,12.0
2008-06,12.8
2008-07,13.1
2008-08,13.2
2008-09,13.0
2008-10,12.6
2008-11,12.3
2008-12,12.4
2009-01,12.6
2009-02,12.6
2009-03,12.6
2009-04,12.5
2009-05,12.6
2009-06,13.2
2009-07,13.1
2009-08,13.0
2009-09,13.0
2009-10,12.6
2009-11,12.4
2009-12,12.4
2010-01,12.4
2010-02,12.3
2010-03,12.5
2010-04,12.6
2010-05,12.7
2010-06,13.2
2010-07,13.3
2010-08,13.3
2010-09,13.2
2010-10,12.7
2010-11,12.5
2010-12,12.5
2011-01,12.5
2011-02,12.5
2011-03,12.7
2011-04,12.7
2011-05,12.9
2011-06,13.4
2011-07,13.5
2011-08,13.5
2011-09,13.5
2011-10,13.0
2011-11,12.8
2011-12,12.7
2012-01,12.8
2012-02,12.8
2012-03,12.7
2012-04,12.7
2012-05,12.9
2012-06,13.5
2012-07,13.3
2012-08,13.3
2012-09,13.3
2012-10,12.8
2012-11,12.7
2012-12,12.7
2013-01,12.9
2013-02,12.9
2013-03,12.8
2013-04,12.8
2013-05,13.1
2013-06,13.7
2013-07,13.7
2013-08,13.7
2013-09,13.7
2013-10,13.2
2013-11,13.0
2013-12,13.1
2014-01,13.4
2014-02,13.4
2014-03,13.5
2014-04,13.1
2014-05,13.6
2014-06,14.3
2014-07,14.3
2014-08,14.3
2014-09,14.1
2014-10,13.6
2014-11,13.4
2014-12,13.5
2015-01,13.8
2015-02,13.8
2015-03,13.6
2015-04,13.7
2015-05,13.7
2015-06,14.3
2015-07,14.2
2015-08,14.2
2015-09,14.1
2015-10,13.6
2015-11,13.4
2015-12,13.3
2016-01,13.4
2016-02,13.4
2016-03,13.4
2016-04,13.4
2016-05,13.3
2016-06,13.8
2016-07,13.9
2016-08,13.9
2016-09,13.9
2016-10,13.4
2016-11,13.1
2016-12,13.3
2017-01,13.4
2017-02,13.5
2017-03,13.4
2017-04,13.5
2017-05,13.7
2017-06,14.2
2017-07,14.3
2017-08,14.2
2017-09,14.2
2017-10,13.7
2017-11,13.6
2017-12,13.6
2018-01,13.5
2018-02,13.5
2018-03,13.5
2018-04,13.4
2018-05,13.6
2018-06,13.9
2018-07,13.9
2018-08,13.9
2018-09,13.8
2018-10,13.6
2018-11,13.4
2018-12,13.5
2019-01,13.5
2019-02,13.6
2019-03,13.5
2019-04,13.5
2019-05,13.6
2019-06,13.9
2019-07,14.0
2019-08,13.9
2019-09,13.9
2019-10,13.6
2019-11,13.3
2019-12,13.3
2020-01,13.4
2020-02,13.4
2020-03,13.4
2020-04,13.3
2020-05,13.4
2020-06,13.7
2020-07,13.7
2020-08,13.7
2020-09,13.7
2020-10,13.5
2020-11,13.6
2020-12,13.6
2021-01,13.6
2021-02,13.7
2021-03,13.8
2021-04,13.9
2021-05,14.0
2021-06,14.2
2021-07,14.3
2021-08,14.4
2021-09,14.4
2021-10,14.2
2021-11,14.2
2021-12,14.2
2022-01,14.7
2022-02,14.8
2022-03,15.0
2022-04,15.1
2022-05,15.4
2022-06,16.0
2022-07,16.4
2022-08,16.7
2022-09,16.7
2022-10,16.6
2022-11,16.3
2022-12,16.5
2023-01,16.8
2023-02,16.8
2023-03,16.6
2023-04,16.5
2023-05,16.5
2023-06,17.0
2023-07,16.9
2023-08,17.0
2023-09,17.1
2023-10,16.9
2023-11,16.8
2023-12,16.9
2024-01,17.3
2024-02,17.3
2024-03,17.4
2024-04,17.3
2024-05,17.5
2024-06,17.8
2024-07,17.8
2024-08,17.7
2024-09,17.8
2024-10,17.7
2024-11,17.6
2024-12,17.6
2025-01,17.9
2025-02,17.9
2025-03,18.1
2025-04,18.1
2025-05,18.2
2025-06,19.0
2025-07,18.9
2025-08,19.0
2025-09,18.8
2025-11,18.9
2025-12,18.9
2026-01,19.2
2026-02,18.9
2026-03,19.0
2026-04,19.4
2026-05,19.6
2026-06,19.8
2026-07,19.7
