period,stateid,price_cents_per_kwh,group
2015-01,AZ,10.99,dense
2015-02,AZ,11.52,dense
2015-03,AZ,11.46,dense
2015-04,AZ,12.21,dense
2015-05,AZ,12.64,dense
2015-06,AZ,12.71,dense
2015-07,AZ,12.78,dense
2015-08,AZ,12.59,dense
2015-09,AZ,12.69,dense
2015-10,AZ,12.16,dense
2015-11,AZ,11.24,dense
2015-12,AZ,10.7,dense
2016-01,AZ,10.84,dense
2016-02,AZ,11.39,dense
2016-03,AZ,11.68,dense
2016-04,AZ,12.28,dense
2016-05,AZ,12.87,dense
2016-06,AZ,12.48,dense
2016-07,AZ,12.64,dense
2016-08,AZ,12.5,dense
2016-09,AZ,12.71,dense
2016-10,AZ,12.1,dense
2016-11,AZ,11.6,dense
2016-12,AZ,11.23,dense
2017-01,AZ,11.25,dense
2017-02,AZ,11.59,dense
2017-03,AZ,11.67,dense
2017-04,AZ,12.41,dense
2017-05,AZ,12.98,dense
2017-06,AZ,12.6,dense
2017-07,AZ,12.69,dense
2017-08,AZ,12.65,dense
2017-09,AZ,12.98,dense
2017-10,AZ,12.78,dense
2017-11,AZ,12.2,dense
2017-12,AZ,12.18,dense
2018-01,AZ,12.18,dense
2018-02,AZ,12.13,dense
2018-03,AZ,12.32,dense
2018-04,AZ,13.02,dense
2018-05,AZ,13.24,dense
2018-06,AZ,13.1,dense
2018-07,AZ,12.86,dense
2018-08,AZ,12.83,dense
2018-09,AZ,12.83,dense
2018-10,AZ,13.17,dense
2018-11,AZ,12.58,dense
2018-12,AZ,12.2,dense
2019-01,AZ,12.12,dense
2019-02,AZ,12.1,dense
2019-03,AZ,12.22,dense
2019-04,AZ,12.82,dense
2019-05,AZ,13.13,dense
2019-06,AZ,12.73,dense
2019-07,AZ,12.63,dense
2019-08,AZ,12.41,dense
2019-09,AZ,12.32,dense
2019-10,AZ,12.77,dense
2019-11,AZ,12.01,dense
2019-12,AZ,11.61,dense
2020-01,AZ,11.55,dense
2020-02,AZ,11.73,dense
2020-03,AZ,12.01,dense
2020-04,AZ,12.63,dense
2020-05,AZ,12.86,dense
2020-06,AZ,12.63,dense
2020-07,AZ,12.57,dense
2020-08,AZ,12.24,dense
2020-09,AZ,12.38,dense
2020-10,AZ,12.1,dense
2020-11,AZ,11.55,dense
2020-12,AZ,12.04,dense
2021-01,AZ,11.69,dense
2021-02,AZ,12.08,dense
2021-03,AZ,12.15,dense
2021-04,AZ,12.52,dense
2021-05,AZ,13.04,dense
2021-06,AZ,12.66,dense
2021-07,AZ,12.64,dense
2021-08,AZ,12.58,dense
2021-09,AZ,12.74,dense
2021-10,AZ,12.82,dense
2021-11,AZ,12.31,dense
2021-12,AZ,12.62,dense
2022-01,AZ,12.39,dense
2022-02,AZ,12.73,dense
2022-03,AZ,12.66,dense
2022-04,AZ,13.14,dense
2022-05,AZ,13.15,dense
2022-06,AZ,13.21,dense
2022-07,AZ,13.08,dense
2022-08,AZ,13.18,dense
2022-09,AZ,13.27,dense
2022-10,AZ,13.11,dense
2022-11,AZ,13.11,dense
2022-12,AZ,12.57,dense
2023-01,AZ,12.63,dense
2023-02,AZ,13.12,dense
2023-03,AZ,13.62,dense
2023-04,AZ,14.12,dense
2023-05,AZ,14.3,dense
2023-06,AZ,14.28,dense
2023-07,AZ,14.13,dense
2023-08,AZ,13.83,dense
2023-09,AZ,14.38,dense
2023-10,AZ,14.53,dense
2023-11,AZ,14.55,dense
2023-12,AZ,14.42,dense
2024-01,AZ,14.06,dense
2024-02,AZ,14.41,dense
2024-03,AZ,14.88,dense
2024-04,AZ,15.2,dense
2024-05,AZ,15.45,dense
2024-06,AZ,15.11,dense
2024-07,AZ,14.82,dense
2024-08,AZ,14.81,dense
2024-09,AZ,14.91,dense
2024-10,AZ,14.98,dense
2024-11,AZ,15.11,dense
2024-12,AZ,15.14,dense
2025-01,AZ,14.72,dense
2025-02,AZ,15.2,dense
2025-03,AZ,15.14,dense
2025-04,AZ,15.67,dense
2025-05,AZ,15.71,dense
2025-06,AZ,15.23,dense
2025-07,AZ,15.34,dense
2025-08,AZ,15.17,dense
2025-09,AZ,15.27,dense
2025-10,AZ,15.55,dense
2025-11,AZ,15.66,dense
2025-12,AZ,15.46,dense
2026-01,AZ,15.61,dense
2026-02,AZ,16.03,dense
2026-03,AZ,15.59,dense
2026-04,AZ,15.48,dense
2026-05,AZ,15.23,dense
2015-01,GA,10.49,dense
2015-02,GA,10.8,dense
2015-03,GA,10.65,dense
2015-04,GA,11.31,dense
2015-05,GA,11.74,dense
2015-06,GA,12.34,dense
2015-07,GA,13.35,dense
2015-08,GA,12.27,dense
2015-09,GA,12.18,dense
2015-10,GA,11.16,dense
2015-11,GA,10.5,dense
2015-12,GA,10.28,dense
2016-01,GA,10.46,dense
2016-02,GA,10.58,dense
2016-03,GA,11.2,dense
2016-04,GA,11.22,dense
2016-05,GA,11.57,dense
2016-06,GA,12.3,dense
2016-07,GA,12.35,dense
2016-08,GA,12.58,dense
2016-09,GA,11.99,dense
2016-10,GA,11.14,dense
2016-11,GA,11.0,dense
2016-12,GA,10.43,dense
2017-01,GA,10.93,dense
2017-02,GA,11.64,dense
2017-03,GA,11.81,dense
2017-04,GA,11.59,dense
2017-05,GA,11.82,dense
2017-06,GA,12.66,dense
2017-07,GA,12.69,dense
2017-08,GA,12.85,dense
2017-09,GA,12.56,dense
2017-10,GA,11.52,dense
2017-11,GA,11.09,dense
2017-12,GA,10.69,dense
2018-01,GA,10.76,dense
2018-02,GA,10.93,dense
2018-03,GA,11.41,dense
2018-04,GA,11.28,dense
2018-05,GA,11.7,dense
2018-06,GA,12.34,dense
2018-07,GA,12.36,dense
2018-08,GA,12.6,dense
2018-09,GA,12.18,dense
2018-10,GA,11.05,dense
2018-11,GA,10.9,dense
2018-12,GA,9.36,dense
2019-01,GA,11.01,dense
2019-02,GA,11.09,dense
2019-03,GA,11.65,dense
2019-04,GA,11.84,dense
2019-05,GA,12.09,dense
2019-06,GA,12.82,dense
2019-07,GA,12.88,dense
2019-08,GA,12.74,dense
2019-09,GA,11.98,dense
2019-10,GA,11.32,dense
2019-11,GA,11.13,dense
2019-12,GA,9.54,dense
2020-01,GA,11.05,dense
2020-02,GA,11.24,dense
2020-03,GA,11.58,dense
2020-04,GA,11.57,dense
2020-05,GA,12.0,dense
2020-06,GA,12.88,dense
2020-07,GA,12.84,dense
2020-08,GA,13.07,dense
2020-09,GA,12.31,dense
2020-10,GA,12.09,dense
2020-11,GA,11.55,dense
2020-12,GA,10.98,dense
2021-01,GA,10.77,dense
2021-02,GA,11.57,dense
2021-03,GA,11.72,dense
2021-04,GA,12.13,dense
2021-05,GA,13.16,dense
2021-06,GA,13.52,dense
2021-07,GA,13.47,dense
2021-08,GA,13.23,dense
2021-09,GA,12.87,dense
2021-10,GA,12.86,dense
2021-11,GA,12.27,dense
2021-12,GA,12.07,dense
2022-01,GA,11.44,dense
2022-02,GA,11.67,dense
2022-03,GA,12.66,dense
2022-04,GA,13.23,dense
2022-05,GA,14.19,dense
2022-06,GA,15.07,dense
2022-07,GA,15.81,dense
2022-08,GA,15.97,dense
2022-09,GA,14.87,dense
2022-10,GA,14.06,dense
2022-11,GA,13.29,dense
2022-12,GA,11.76,dense
2023-01,GA,12.81,dense
2023-02,GA,13.53,dense
2023-03,GA,13.49,dense
2023-04,GA,13.25,dense
2023-05,GA,13.96,dense
2023-06,GA,14.59,dense
2023-07,GA,14.33,dense
2023-08,GA,14.12,dense
2023-09,GA,13.97,dense
2023-10,GA,13.69,dense
2023-11,GA,13.16,dense
2023-12,GA,12.72,dense
2024-01,GA,12.27,dense
2024-02,GA,12.92,dense
2024-03,GA,13.49,dense
2024-04,GA,14.04,dense
2024-05,GA,14.86,dense
2024-06,GA,15.48,dense
2024-07,GA,15.16,dense
2024-08,GA,14.83,dense
2024-09,GA,13.63,dense
2024-10,GA,13.92,dense
2024-11,GA,14.23,dense
2024-12,GA,13.46,dense
2025-01,GA,13.5,dense
2025-02,GA,13.56,dense
2025-03,GA,14.69,dense
2025-04,GA,14.82,dense
2025-05,GA,14.98,dense
2025-06,GA,15.96,dense
2025-07,GA,15.56,dense
2025-08,GA,15.43,dense
2025-09,GA,15.3,dense
2025-10,GA,14.53,dense
2025-11,GA,14.42,dense
2025-12,GA,13.67,dense
2026-01,GA,14.46,dense
2026-02,GA,14.13,dense
2026-03,GA,15.01,dense
2026-04,GA,15.37,dense
2026-05,GA,15.84,dense
2015-01,IL,11.45,dense
2015-02,IL,11.88,dense
2015-03,IL,11.94,dense
2015-04,IL,13.31,dense
2015-05,IL,13.26,dense
2015-06,IL,12.58,dense
2015-07,IL,12.56,dense
2015-08,IL,12.52,dense
2015-09,IL,12.8,dense
2015-10,IL,13.58,dense
2015-11,IL,13.27,dense
2015-12,IL,11.82,dense
2016-01,IL,11.77,dense
2016-02,IL,12.27,dense
2016-03,IL,12.88,dense
2016-04,IL,13.09,dense
2016-05,IL,13.61,dense
2016-06,IL,12.54,dense
2016-07,IL,12.35,dense
2016-08,IL,12.24,dense
2016-09,IL,12.53,dense
2016-10,IL,13.03,dense
2016-11,IL,13.14,dense
2016-12,IL,11.95,dense
2017-01,IL,11.55,dense
2017-02,IL,12.51,dense
2017-03,IL,14.02,dense
2017-04,IL,13.59,dense
2017-05,IL,14.09,dense
2017-06,IL,13.14,dense
2017-07,IL,12.29,dense
2017-08,IL,12.83,dense
2017-09,IL,13.09,dense
2017-10,IL,13.12,dense
2017-11,IL,13.67,dense
2017-12,IL,12.58,dense
2018-01,IL,12.74,dense
2018-02,IL,12.48,dense
2018-03,IL,12.93,dense
2018-04,IL,13.27,dense
2018-05,IL,13.39,dense
2018-06,IL,12.75,dense
2018-07,IL,11.96,dense
2018-08,IL,12.52,dense
2018-09,IL,12.43,dense
2018-10,IL,13.49,dense
2018-11,IL,13.46,dense
2018-12,IL,12.53,dense
2019-01,IL,12.38,dense
2019-02,IL,12.67,dense
2019-03,IL,12.99,dense
2019-04,IL,14.32,dense
2019-05,IL,14.32,dense
2019-06,IL,13.42,dense
2019-07,IL,12.14,dense
2019-08,IL,12.71,dense
2019-09,IL,12.69,dense
2019-10,IL,13.86,dense
2019-11,IL,13.51,dense
2019-12,IL,12.79,dense
2020-01,IL,12.84,dense
2020-02,IL,13.01,dense
2020-03,IL,13.41,dense
2020-04,IL,13.96,dense
2020-05,IL,14.29,dense
2020-06,IL,12.9,dense
2020-07,IL,12.18,dense
2020-08,IL,12.56,dense
2020-09,IL,12.68,dense
2020-10,IL,13.99,dense
2020-11,IL,13.64,dense
2020-12,IL,12.52,dense
2021-01,IL,12.23,dense
2021-02,IL,12.19,dense
2021-03,IL,13.82,dense
2021-04,IL,13.98,dense
2021-05,IL,14.18,dense
2021-06,IL,12.83,dense
2021-07,IL,12.68,dense
2021-08,IL,12.85,dense
2021-09,IL,13.02,dense
2021-10,IL,13.98,dense
2021-11,IL,14.33,dense
2021-12,IL,13.4,dense
2022-01,IL,12.92,dense
2022-02,IL,13.83,dense
2022-03,IL,14.57,dense
2022-04,IL,14.98,dense
2022-05,IL,15.02,dense
2022-06,IL,16.58,dense
2022-07,IL,16.36,dense
2022-08,IL,16.73,dense
2022-09,IL,16.81,dense
2022-10,IL,17.02,dense
2022-11,IL,17.04,dense
2022-12,IL,15.98,dense
2023-01,IL,15.99,dense
2023-02,IL,17.03,dense
2023-03,IL,17.38,dense
2023-04,IL,17.82,dense
2023-05,IL,17.86,dense
2023-06,IL,15.08,dense
2023-07,IL,14.81,dense
2023-08,IL,13.74,dense
2023-09,IL,14.7,dense
2023-10,IL,15.75,dense
2023-11,IL,15.65,dense
2023-12,IL,14.84,dense
2024-01,IL,14.77,dense
2024-02,IL,15.6,dense
2024-03,IL,15.95,dense
2024-04,IL,16.51,dense
2024-05,IL,16.52,dense
2024-06,IL,16.01,dense
2024-07,IL,15.19,dense
2024-08,IL,15.62,dense
2024-09,IL,15.8,dense
2024-10,IL,16.48,dense
2024-11,IL,17.06,dense
2024-12,IL,15.96,dense
2025-01,IL,15.78,dense
2025-02,IL,16.47,dense
2025-03,IL,17.55,dense
2025-04,IL,18.28,dense
2025-05,IL,18.58,dense
2025-06,IL,18.29,dense
2025-07,IL,17.22,dense
2025-08,IL,18.06,dense
2025-09,IL,19.05,dense
2025-10,IL,18.74,dense
2025-11,IL,18.31,dense
2025-12,IL,17.07,dense
2026-01,IL,16.36,dense
2026-02,IL,17.83,dense
2026-03,IL,18.86,dense
2026-04,IL,20.47,dense
2026-05,IL,23.85,dense
2015-01,MD,13.0,dense
2015-02,MD,13.06,dense
2015-03,MD,13.07,dense
2015-04,MD,13.67,dense
2015-05,MD,13.57,dense
2015-06,MD,14.58,dense
2015-07,MD,13.85,dense
2015-08,MD,13.84,dense
2015-09,MD,14.01,dense
2015-10,MD,15.23,dense
2015-11,MD,14.89,dense
2015-12,MD,14.59,dense
2016-01,MD,14.04,dense
2016-02,MD,13.99,dense
2016-03,MD,14.37,dense
2016-04,MD,14.37,dense
2016-05,MD,14.7,dense
2016-06,MD,14.62,dense
2016-07,MD,14.07,dense
2016-08,MD,13.82,dense
2016-09,MD,14.02,dense
2016-10,MD,15.17,dense
2016-11,MD,14.31,dense
2016-12,MD,14.0,dense
2017-01,MD,14.22,dense
2017-02,MD,14.33,dense
2017-03,MD,14.13,dense
2017-04,MD,14.3,dense
2017-05,MD,14.52,dense
2017-06,MD,14.19,dense
2017-07,MD,13.56,dense
2017-08,MD,13.9,dense
2017-09,MD,13.9,dense
2017-10,MD,14.37,dense
2017-11,MD,13.32,dense
2017-12,MD,13.23,dense
2018-01,MD,12.95,dense
2018-02,MD,13.41,dense
2018-03,MD,12.97,dense
2018-04,MD,13.36,dense
2018-05,MD,13.33,dense
2018-06,MD,13.83,dense
2018-07,MD,13.44,dense
2018-08,MD,13.05,dense
2018-09,MD,13.28,dense
2018-10,MD,14.18,dense
2018-11,MD,13.1,dense
2018-12,MD,13.09,dense
2019-01,MD,13.07,dense
2019-02,MD,13.4,dense
2019-03,MD,13.44,dense
2019-04,MD,14.24,dense
2019-05,MD,13.48,dense
2019-06,MD,13.25,dense
2019-07,MD,12.52,dense
2019-08,MD,12.45,dense
2019-09,MD,12.82,dense
2019-10,MD,14.05,dense
2019-11,MD,12.78,dense
2019-12,MD,12.85,dense
2020-01,MD,13.41,dense
2020-02,MD,13.35,dense
2020-03,MD,13.58,dense
2020-04,MD,13.2,dense
2020-05,MD,13.21,dense
2020-06,MD,12.83,dense
2020-07,MD,12.22,dense
2020-08,MD,12.47,dense
2020-09,MD,12.93,dense
2020-10,MD,13.82,dense
2020-11,MD,13.25,dense
2020-12,MD,12.72,dense
2021-01,MD,12.6,dense
2021-02,MD,12.47,dense
2021-03,MD,12.78,dense
2021-04,MD,12.96,dense
2021-05,MD,12.88,dense
2021-06,MD,13.07,dense
2021-07,MD,12.95,dense
2021-08,MD,12.89,dense
2021-09,MD,13.28,dense
2021-10,MD,14.5,dense
2021-11,MD,13.65,dense
2021-12,MD,14.07,dense
2022-01,MD,13.38,dense
2022-02,MD,14.04,dense
2022-03,MD,14.14,dense
2022-04,MD,14.11,dense
2022-05,MD,14.17,dense
2022-06,MD,14.61,dense
2022-07,MD,14.22,dense
2022-08,MD,14.24,dense
2022-09,MD,14.55,dense
2022-10,MD,15.84,dense
2022-11,MD,15.37,dense
2022-12,MD,15.53,dense
2023-01,MD,15.98,dense
2023-02,MD,16.22,dense
2023-03,MD,15.85,dense
2023-04,MD,15.92,dense
2023-05,MD,16.08,dense
2023-06,MD,17.0,dense
2023-07,MD,16.02,dense
2023-08,MD,16.39,dense
2023-09,MD,16.95,dense
2023-10,MD,18.38,dense
2023-11,MD,17.38,dense
2023-12,MD,17.46,dense
2024-01,MD,17.45,dense
2024-02,MD,17.58,dense
2024-03,MD,18.07,dense
2024-04,MD,17.85,dense
2024-05,MD,17.62,dense
2024-06,MD,17.41,dense
2024-07,MD,17.24,dense
2024-08,MD,17.83,dense
2024-09,MD,18.36,dense
2024-10,MD,19.21,dense
2024-11,MD,18.4,dense
2024-12,MD,18.13,dense
