delivery_year,zone,price_usd_per_mwday,note
2021/22,RTO(其余大部分区域),140.00,拍卖于2018年5月举行(MOPR延迟前的正常排期)
2022/23,RTO(其余大部分区域),50.00,较2021/22下跌64%；拍卖延迟到2021年5月才举行(FERC对MOPR最低报价规则的复议程序导致2019-2020两个交割年度的拍卖被搁置，PJM暂停常规排期，2019/20、2020/21两个交割年度没有产出可比的单一出清价，故本表跳过这两年，不编造数字)；降价主因是MOPR新规下更多资源(尤其可再生能源)以更低价格中标，与需求侧无关
2023/24,RTO(其余大部分区域),34.13,拍卖恢复到接近正常排期
2023/24,MAAC(中大西洋区域),49.49,当年受限区域之一；DPL-SOUTH、BGE同年也是$69.95
2024/25,RTO(其余大部分区域),28.92,PJM RTO-wide基准价，延续前两年的下降趋势，尚未反映数据中心负荷预测的大幅拉升
2024/25,PEPCO(华盛顿特区),49.49,PEPCO区域受限于本地输电约束，当年已比RTO基准价高约71%；与上一行2023/24 MAAC区域的49.49数值相同是巧合(两个不同年份、不同区域)，未能找到原始PJM报告逐一核实是否为四舍五入后的巧合，特此标注
2025/26,RTO(其余大部分区域),269.92,较上年+833%，趋势在此逆转——此前连续3个交割年度(2021/22→2024/25)出清价一路走低，这一年突然反转暴涨
2025/26,BGE(巴尔的摩燃气电力),466.35,该年输电受限区域单独出清，溢价远高于RTO基准
2025/26,DOM(弗吉尼亚Dominion),444.26,同上
2026/27,全部区域(触及价格上限),329.17,较2025/26 RTO基准价+22%；BGE/DOM区域反而从466/444回落到与其余区域一致(说明输电约束在这一年有所缓解)，但全区域统一触及FERC批准的价格上限
2027/28,全部区域(再次触及价格上限),333.44,"较2026/27+1.3%，连续两年触及价格上限；当年拍卖采购145,777MW，较PJM 20%装机备用率目标少约6,625MW"
2028/29,全部区域,325.00,"较2027/28小幅回落2.5%，采购138,317.8MW UCAP；仍显著高于2024/25基准价(28.92)近11倍，且报道称该年度仍低于PJM可靠性目标(缺口约数GW量级)，未查到精确缺口数字，不编造"
