request_year,count_active,count_operational,count_withdrawn,count_suspended,total,completion_rate_pct,withdrawal_rate_pct
2000,2,81,221,0,304,26.64,72.7
2001,6,112,410,0,528,21.21,77.65
2002,1,85,190,0,276,30.8,68.84
2003,2,122,197,0,321,38.01,61.37
2004,7,110,189,0,306,35.95,61.76
2005,8,190,317,0,515,36.89,61.55
2006,5,209,532,1,747,27.98,71.22
2007,10,300,791,11,1112,26.98,71.13
2008,9,165,1017,2,1193,13.83,85.25
2009,11,177,647,4,839,21.1,77.12
2010,6,235,1000,3,1244,18.89,80.39
2011,12,170,801,6,989,17.19,80.99
2012,8,176,392,8,584,30.14,67.12
2013,11,207,457,4,679,30.49,67.3
2014,29,239,658,3,929,25.73,70.83
2015,62,272,796,10,1140,23.86,69.82
2016,140,313,1152,17,1622,19.3,71.02
2017,241,316,1203,43,1803,17.53,66.72
2018,284,269,1372,59,1984,13.56,69.15
2019,503,264,1453,79,2299,11.48,63.2
2020,564,180,1720,49,2513,7.16,68.44
2021,747,89,2110,119,3065,2.9,68.84
2022,1323,35,1830,144,3332,1.05,54.92
2023,1142,87,2020,66,3315,2.62,60.94
2024,1209,7,1303,16,2535,0.28,51.4
2025,1804,13,472,1,2290,0.57,20.61
