year,n,mean,p25,median,p75
2005,63,26.39436414075048,9.658344283837057,17.67411300919842,42.34559789750328
2006,76,29.36319939138253,14.73390275952694,22.51971090670171,42.02529566360052
2007,96,30.38867444152431,14.84067017082786,25.55847568988173,41.38469119579501
2008,114,27.78488599949282,10.35643889618922,21.76412614980289,34.22306176084099
2009,97,36.67075334949944,19.71090670170828,31.07752956636005,48.48883048620236
2010,107,39.59927296842571,28.79434954007884,33.50854139290407,50.47634691195795
2011,122,36.68086641821589,19.55486202365309,35.34822601839684,51.11695137976347
2012,141,40.98750244638913,21.28777923784494,31.47174770039422,57.58869908015768
2013,102,44.00685372703615,20.49113009198423,35.79172141918528,60.21681997371878
2014,108,46.42800652163333,24.3511826544021,45.71287779237845,64.01116951379764
2015,164,44.72753277138553,23.47240473061761,37.81208935611038,62.26182654402102
2016,180,48.18458899109359,23.69415243101182,43.98817345597897,68.15045992115637
2017,138,47.46305395265573,26.39618922470433,39.88173455978975,61.88403416557161
2018,152,47.61113320423266,26.98751642575559,41.86925098554534,61.21879106438897
2019,153,51.90452878479469,30.51905387647832,46.48488830486203,61.2023653088042
2020,227,46.47041627350981,33.04862023653088,46.05781865965834,56.34034165571616
2021,200,51.42115637319316,33.16360052562418,49.96714848883048,61.16951379763469
2022,176,57.40297604826186,37.69710906701708,55.15768725361367,71.32884362680683
2023,265,57.84196563607964,40.86727989487516,55.74901445466491,72.99605781865965
2024,335,62.08415870712142,42.93692509855453,62.71353482260184,80.2562417871222
2025,294,62.43619655483744,42.27989487516425,60.82457293035479,86.07095926412615
