year,stage,median_months,n
2007,IA_to_COD,30.92969776609724,39
2008,IA_to_COD,20.17082785808147,23
2009,IA_to_COD,29.70597897503285,22
2010,IA_to_COD,34.7568988173456,35
2011,IA_to_COD,21.38633377135348,33
2012,IA_to_COD,29.00788436268068,53
2013,IA_to_COD,36.49802890932983,43
2014,IA_to_COD,36.21879106438896,59
2015,IA_to_COD,32.21911957950066,82
2016,IA_to_COD,29.79632063074901,87
2017,IA_to_COD,33.55781865965834,76
2018,IA_to_COD,40.90834428383705,68
2019,IA_to_COD,37.25361366622865,77
2020,IA_to_COD,30.68331143232589,122
2021,IA_to_COD,32.66261498028909,118
2022,IA_to_COD,41.46681997371878,106
2023,IA_to_COD,34.223061760841,132
2024,IA_to_COD,48.22601839684626,175
2025,IA_to_COD,44.28383705650459,142
2005,IR_to_COD,17.67411300919842,63
2006,IR_to_COD,22.51971090670171,76
2007,IR_to_COD,25.55847568988173,96
2008,IR_to_COD,21.76412614980289,114
2009,IR_to_COD,31.07752956636005,97
2010,IR_to_COD,33.50854139290407,107
2011,IR_to_COD,35.34822601839684,122
2012,IR_to_COD,31.47174770039422,141
2013,IR_to_COD,35.79172141918528,102
2014,IR_to_COD,45.71287779237845,108
2015,IR_to_COD,37.81208935611038,164
2016,IR_to_COD,43.98817345597897,180
2017,IR_to_COD,39.88173455978975,138
2018,IR_to_COD,41.86925098554534,152
2019,IR_to_COD,46.48488830486203,153
2020,IR_to_COD,46.05781865965834,227
2021,IR_to_COD,49.96714848883048,200
2022,IR_to_COD,55.15768725361367,176
2023,IR_to_COD,55.74901445466491,265
2024,IR_to_COD,62.71353482260184,335
2025,IR_to_COD,60.82457293035479,294
2004,IR_to_IA,13.3377135348226,78
2005,IR_to_IA,14.84888304862024,87
2006,IR_to_IA,15.17739816031537,103
2007,IR_to_IA,13.6826544021025,120
2008,IR_to_IA,14.81603153745072,157
2009,IR_to_IA,22.73324572930355,179
2010,IR_to_IA,29.40210249671485,179
2011,IR_to_IA,30.04270696452037,262
2012,IR_to_IA,32.09592641261498,259
2013,IR_to_IA,29.20499342969777,192
2014,IR_to_IA,20.0065703022339,179
2015,IR_to_IA,17.24704336399474,161
2016,IR_to_IA,19.34954007884362,136
2017,IR_to_IA,23.75164257555847,116
2018,IR_to_IA,27.26675427069645,227
2019,IR_to_IA,31.24178712220762,275
2020,IR_to_IA,32.60512483574244,324
2021,IR_to_IA,32.09592641261498,359
2022,IR_to_IA,35.54533508541392,296
2023,IR_to_IA,32.98291721419186,420
2024,IR_to_IA,35.20039421813404,322
2025,IR_to_IA,44.79303547963206,498
