calendar_quarter,company,fiscal_period_end,capex_usd,ocf_usd,fcf_usd,capex_to_ocf_ratio
2015Q1,AMZN,2015-03-31,871000000,-1499000000,-2370000000,-0.5811
2015Q1,GOOGL,2015-03-31,2927000000,6722000000,3795000000,0.4354
2015Q1,META,2015-03-31,502000000,1700000000,1198000000,0.2953
2015Q2,AMZN,2015-06-30,1213000000,1997000000,784000000,0.6074
2015Q2,GOOGL,2015-06-30,2515000000,7096000000,4581000000,0.3544
2015Q2,META,2015-06-30,549000000,1880000000,1331000000,0.292
2015Q3,AMZN,2015-09-30,1195000000,2610000000,1415000000,0.4579
2015Q3,GOOGL,2015-09-30,2383000000,354000000,-2029000000,6.7316
2015Q3,META,2015-09-30,780000000,2192000000,1412000000,0.3558
2015Q4,AMZN,2015-12-31,1309000000,119000000,-1190000000,11.0
2015Q4,GOOGL,2015-12-31,35000000,548000000,513000000,0.0639
2015Q4,META,2015-12-31,692000000,1721000000,1029000000,0.4021
2016Q1,AMZN,2016-03-31,1179000000,207000000,-972000000,5.6957
2016Q1,GOOGL,2016-03-31,16000000,7658000000,7642000000,0.0021
2016Q1,META,2016-03-31,1132000000,494000000,-638000000,2.2915
2016Q2,AMZN,2016-06-30,1711000000,113000000,-1598000000,15.1416
2016Q2,GOOGL,2016-06-30,13000000,9120000000,9107000000,0.0014
2016Q2,META,2016-06-30,995000000,961000000,-34000000,1.0354
2016Q2,MSFT,2016-06-30,2655000000,33325000000,30670000000,0.0797
2016Q2,ORCL,2016-05-31,180000000,13685000000,13505000000,0.0132
2016Q3,AMZN,2016-09-30,1841000000,173000000,-1668000000,10.6416
2016Q3,GOOGL,2016-09-30,2554000000,9845000000,7291000000,0.2594
2016Q3,META,2016-09-30,1095000000,1420000000,325000000,0.7711
2016Q4,AMZN,2016-12-31,2006000000,-69000000,-2075000000,-29.0725
2016Q4,GOOGL,2016-12-31,3078000000,9413000000,6335000000,0.327
2016Q4,META,2016-12-31,1269000000,4930000000,3661000000,0.2574
2016Q4,MSFT,2016-12-31,1988000000,6293000000,4305000000,0.3159
2017Q1,AMZN,2017-03-31,1861000000,-29000000,-1890000000,-64.1724
2017Q1,GOOGL,2017-03-31,2508000000,9548000000,7040000000,0.2627
2017Q1,META,2017-03-31,1271000000,5058000000,3787000000,0.2513
