date,index_value
2017-01,231.5
2017-02,232.3
2017-03,233.1
2017-04,235.5
2017-05,235.9
2017-06,234.7
2017-07,234.1
2017-08,233.6
2017-09,233.7
2017-10,236.7
2017-11,237.3
2017-12,236.6
2018-01,237.6
2018-02,240.6
2018-03,240.9
2018-04,243.5
2018-05,243.5
2018-06,245.7
2018-07,249.5
2018-08,250.1
2018-09,249.8
2018-10,249.7
2018-11,250.1
2018-12,250.2
2019-01,249.9
2019-02,249.7
2019-03,252.0
2019-04,251.4
2019-05,252.1
2019-06,251.7
2019-07,252.8
2019-08,251.6
2019-09,252.3
2019-10,252.2
2019-11,254.0
2019-12,256.1
2020-01,255.5
2020-02,256.2
2020-03,255.3
2020-04,253.1
2020-05,251.6
2020-06,252.1
2020-07,254.7
2020-08,255.6
2020-09,256.0
2020-10,256.9
2020-11,258.1
2020-12,258.8
2021-01,262.0
2021-02,263.0
2021-03,269.6
2021-04,274.1
2021-05,285.6
2021-06,302.7
2021-07,304.644
2021-08,304.955
2021-09,315.88
2021-10,324.406
2021-11,340.584
2021-12,347.71
2022-01,356.302
2022-02,357.549
2022-03,377.648
2022-04,389.471
2022-05,393.377
2022-06,407.819
2022-07,414.872
2022-08,416.591
2022-09,416.819
2022-10,406.555
2022-11,408.861
2022-12,410.307
2023-01,410.561
2023-02,411.202
2023-03,413.641
2023-04,414.723
2023-05,415.858
2023-06,414.927
2023-07,416.845
2023-08,418.587
2023-09,418.587
2023-10,419.322
2023-11,419.322
2023-12,425.883
2024-01,428.635
2024-02,428.635
2024-03,430.57
2024-04,426.375
2024-05,426.375
2024-06,428.91
2024-07,429.801
2024-08,429.801
2024-09,429.801
2024-10,432.642
2024-11,432.642
2024-12,432.642
2025-01,433.246
2025-02,433.246
2025-03,437.231
2025-04,438.942
2025-05,438.942
2025-06,438.942
2025-07,440.55
2025-08,440.55
2025-09,440.55
2025-10,458.356
2025-11,455.803
2025-12,455.909
2026-01,455.931
2026-02,455.996
2026-03,455.996
2026-04,454.338
2026-05,456.602
2026-06,456.602
2026-07,474.83
