series_id,series_name,year,period,periodName,value
PCU335311335311,transformers,2026,M07,July,474.830
PCU335311335311,transformers,2026,M06,June,456.602
PCU335311335311,transformers,2026,M05,May,456.602
PCU335311335311,transformers,2026,M04,April,454.338
PCU335311335311,transformers,2026,M03,March,455.996
PCU335311335311,transformers,2026,M02,February,455.996
PCU335311335311,transformers,2026,M01,January,455.931
PCU335311335311,transformers,2025,M12,December,455.909
PCU335311335311,transformers,2025,M11,November,455.803
PCU335311335311,transformers,2025,M10,October,458.356
PCU335311335311,transformers,2025,M09,September,440.550
PCU335311335311,transformers,2025,M08,August,440.550
PCU335311335311,transformers,2025,M07,July,440.550
PCU335311335311,transformers,2025,M06,June,438.942
PCU335311335311,transformers,2025,M05,May,438.942
PCU335311335311,transformers,2025,M04,April,438.942
PCU335311335311,transformers,2025,M03,March,437.231
PCU335311335311,transformers,2025,M02,February,433.246
PCU335311335311,transformers,2025,M01,January,433.246
PCU335311335311,transformers,2024,M12,December,432.642
PCU335311335311,transformers,2024,M11,November,432.642
PCU335311335311,transformers,2024,M10,October,432.642
PCU335311335311,transformers,2024,M09,September,429.801
PCU335311335311,transformers,2024,M08,August,429.801
PCU335311335311,transformers,2024,M07,July,429.801
PCU335311335311,transformers,2024,M06,June,428.910
PCU335311335311,transformers,2024,M05,May,426.375
PCU335311335311,transformers,2024,M04,April,426.375
PCU335311335311,transformers,2024,M03,March,430.570
PCU335311335311,transformers,2024,M02,February,428.635
PCU335311335311,transformers,2024,M01,January,428.635
PCU335311335311,transformers,2023,M12,December,425.883
PCU335311335311,transformers,2023,M11,November,419.322
PCU335311335311,transformers,2023,M10,October,419.322
PCU335311335311,transformers,2023,M09,September,418.587
PCU335311335311,transformers,2023,M08,August,418.587
PCU335311335311,transformers,2023,M07,July,416.845
PCU335311335311,transformers,2023,M06,June,414.927
PCU335311335311,transformers,2023,M05,May,415.858
PCU335311335311,transformers,2023,M04,April,414.723
PCU335311335311,transformers,2023,M03,March,413.641
PCU335311335311,transformers,2023,M02,February,411.202
PCU335311335311,transformers,2023,M01,January,410.561
PCU335311335311,transformers,2022,M12,December,410.307
PCU335311335311,transformers,2022,M11,November,408.861
PCU335311335311,transformers,2022,M10,October,406.555
PCU335311335311,transformers,2022,M09,September,416.819
PCU335311335311,transformers,2022,M08,August,416.591
PCU335311335311,transformers,2022,M07,July,414.872
PCU335311335311,transformers,2022,M06,June,407.819
PCU335311335311,transformers,2022,M05,May,393.377
PCU335311335311,transformers,2022,M04,April,389.471
PCU335311335311,transformers,2022,M03,March,377.648
PCU335311335311,transformers,2022,M02,February,357.549
PCU335311335311,transformers,2022,M01,January,356.302
PCU335311335311,transformers,2021,M12,December,347.710
PCU335311335311,transformers,2021,M11,November,340.584
PCU335311335311,transformers,2021,M10,October,324.406
PCU335311335311,transformers,2021,M09,September,315.880
PCU335311335311,transformers,2021,M08,August,304.955
PCU335311335311,transformers,2021,M07,July,304.644
PCU335311335311,transformers,2021,M06,June,302.7
PCU335311335311,transformers,2021,M05,May,285.6
PCU335311335311,transformers,2021,M04,April,274.1
PCU335311335311,transformers,2021,M03,March,269.6
PCU335311335311,transformers,2021,M02,February,263.0
PCU335311335311,transformers,2021,M01,January,262.0
PCU335311335311,transformers,2020,M12,December,258.8
PCU335311335311,transformers,2020,M11,November,258.1
PCU335311335311,transformers,2020,M10,October,256.9
PCU335311335311,transformers,2020,M09,September,256.0
PCU335311335311,transformers,2020,M08,August,255.6
PCU335311335311,transformers,2020,M07,July,254.7
PCU335311335311,transformers,2020,M06,June,252.1
PCU335311335311,transformers,2020,M05,May,251.6
PCU335311335311,transformers,2020,M04,April,253.1
PCU335311335311,transformers,2020,M03,March,255.3
PCU335311335311,transformers,2020,M02,February,256.2
PCU335311335311,transformers,2020,M01,January,255.5
PCU335311335311,transformers,2019,M12,December,256.1
PCU335311335311,transformers,2019,M11,November,254.0
PCU335311335311,transformers,2019,M10,October,252.2
PCU335311335311,transformers,2019,M09,September,252.3
PCU335311335311,transformers,2019,M08,August,251.6
PCU335311335311,transformers,2019,M07,July,252.8
PCU335311335311,transformers,2019,M06,June,251.7
PCU335311335311,transformers,2019,M05,May,252.1
PCU335311335311,transformers,2019,M04,April,251.4
PCU335311335311,transformers,2019,M03,March,252.0
PCU335311335311,transformers,2019,M02,February,249.7
PCU335311335311,transformers,2019,M01,January,249.9
PCU335311335311,transformers,2018,M12,December,250.2
PCU335311335311,transformers,2018,M11,November,250.1
PCU335311335311,transformers,2018,M10,October,249.7
PCU335311335311,transformers,2018,M09,September,249.8
PCU335311335311,transformers,2018,M08,August,250.1
PCU335311335311,transformers,2018,M07,July,249.5
PCU335311335311,transformers,2018,M06,June,245.7
PCU335311335311,transformers,2018,M05,May,243.5
PCU335311335311,transformers,2018,M04,April,243.5
PCU335311335311,transformers,2018,M03,March,240.9
PCU335311335311,transformers,2018,M02,February,240.6
PCU335311335311,transformers,2018,M01,January,237.6
PCU335311335311,transformers,2017,M12,December,236.6
PCU335311335311,transformers,2017,M11,November,237.3
PCU335311335311,transformers,2017,M10,October,236.7
PCU335311335311,transformers,2017,M09,September,233.7
PCU335311335311,transformers,2017,M08,August,233.6
PCU335311335311,transformers,2017,M07,July,234.1
PCU335311335311,transformers,2017,M06,June,234.7
PCU335311335311,transformers,2017,M05,May,235.9
PCU335311335311,transformers,2017,M04,April,235.5
PCU335311335311,transformers,2017,M03,March,233.1
PCU335311335311,transformers,2017,M02,February,232.3
PCU335311335311,transformers,2017,M01,January,231.5
