period_id,date_range,metric,answer,pct,standard_error
31,9/11/2023 - 9/24/2023,current_v1_goods_services,No,89.4,.13
31,9/11/2023 - 9/24/2023,current_v1_goods_services,Do not know,6.9,.11
31,9/11/2023 - 9/24/2023,current_v1_goods_services,Yes,3.7,.11
31,9/11/2023 - 9/24/2023,expected_v1_goods_services,Yes,6.3,.14
31,9/11/2023 - 9/24/2023,expected_v1_goods_services,No,74.1,.18
31,9/11/2023 - 9/24/2023,expected_v1_goods_services,Do not know,19.6,.15
32,9/25/2023 - 10/8/2023,current_v1_goods_services,Do not know,7,.18
32,9/25/2023 - 10/8/2023,current_v1_goods_services,No,89.3,.28
32,9/25/2023 - 10/8/2023,current_v1_goods_services,Yes,3.7,.13
32,9/25/2023 - 10/8/2023,expected_v1_goods_services,Do not know,19.7,.19
32,9/25/2023 - 10/8/2023,expected_v1_goods_services,No,74.1,.26
32,9/25/2023 - 10/8/2023,expected_v1_goods_services,Yes,6.3,.18
33,10/9/2023 - 10/22/2023,current_v1_goods_services,No,89.5,.13
33,10/9/2023 - 10/22/2023,current_v1_goods_services,Do not know,6.7,.12
33,10/9/2023 - 10/22/2023,current_v1_goods_services,Yes,3.8,.13
33,10/9/2023 - 10/22/2023,expected_v1_goods_services,No,74,.28
33,10/9/2023 - 10/22/2023,expected_v1_goods_services,Do not know,19.6,.18
33,10/9/2023 - 10/22/2023,expected_v1_goods_services,Yes,6.5,.21
34,10/23/2023 - 11/5/2023,current_v1_goods_services,Yes,3.9,.15
34,10/23/2023 - 11/5/2023,current_v1_goods_services,No,89.7,.12
34,10/23/2023 - 11/5/2023,current_v1_goods_services,Do not know,6.4,.09
34,10/23/2023 - 11/5/2023,expected_v1_goods_services,No,73.8,.13
34,10/23/2023 - 11/5/2023,expected_v1_goods_services,Yes,6.5,.18
34,10/23/2023 - 11/5/2023,expected_v1_goods_services,Do not know,19.7,.15
35,11/6/2023 - 11/19/2023,current_v1_goods_services,Do not know,7.2,.12
35,11/6/2023 - 11/19/2023,current_v1_goods_services,No,88.4,.13
35,11/6/2023 - 11/19/2023,current_v1_goods_services,Yes,4.4,.11
35,11/6/2023 - 11/19/2023,expected_v1_goods_services,No,73.6,.23
35,11/6/2023 - 11/19/2023,expected_v1_goods_services,Do not know,19.5,.23
35,11/6/2023 - 11/19/2023,expected_v1_goods_services,Yes,6.9,.15
36,11/20/2023 - 12/3/2023,current_v1_goods_services,Do not know,7.7,.13
36,11/20/2023 - 12/3/2023,current_v1_goods_services,Yes,4.6,.11
36,11/20/2023 - 12/3/2023,current_v1_goods_services,No,87.8,.14
36,11/20/2023 - 12/3/2023,expected_v1_goods_services,No,72.6,.27
36,11/20/2023 - 12/3/2023,expected_v1_goods_services,Yes,7.3,.15
36,11/20/2023 - 12/3/2023,expected_v1_goods_services,Do not know,20.1,.26
37,12/4/2023 - 12/17/2023,current_v1_goods_services,No,84.1,.39
37,12/4/2023 - 12/17/2023,current_v1_goods_services,Do not know,11,.32
37,12/4/2023 - 12/17/2023,current_v1_goods_services,Yes,4.9,.17
37,12/4/2023 - 12/17/2023,expected_v1_goods_services,Do not know,22.3,.32
37,12/4/2023 - 12/17/2023,expected_v1_goods_services,No,71.3,.31
37,12/4/2023 - 12/17/2023,expected_v1_goods_services,Yes,6.5,.17
38,12/18/2023 - 12/31/2023,current_v1_goods_services,Do not know,11,.27
