figure_id,metric,value,unit,period,source_name,source_url,accessed_date,data_level,caveat
F02,AI chatbot使用率-2023,23,percent,2023,Pew Research Center,https://www.pewresearch.org/internet/2026/06/17/americans-and-ai-2026-chatbots-smart-devices-and-views-on-impact/,2026-08-16,B,"WebSearch摘要转述,非原始topline PDF,需核对样本量与问法原文"
F02,AI chatbot使用率-2024夏,33,percent,2024-summer,Pew Research Center,https://www.pewresearch.org/internet/2026/06/17/americans-and-ai-2026-chatbots-smart-devices-and-views-on-impact/,2026-08-16,B,同上
F02,AI chatbot使用率-2026早,49,percent,2026-early,Pew Research Center,https://www.pewresearch.org/internet/2026/06/17/americans-and-ai-2026-chatbots-smart-devices-and-views-on-impact/,2026-08-16,B,同上;与规划文档F02引用数字一致(23/33/49)
F02,ChatGPT使用率-2023,18,percent,2023,Pew Research Center,https://www.pewresearch.org/short-reads/2025/06/25/34-of-us-adults-have-used-chatgpt-about-double-the-share-in-2023/,2026-08-16,B,WebSearch摘要转述
F02,ChatGPT使用率-2025,34,percent,2025,Pew Research Center,https://www.pewresearch.org/short-reads/2025/06/25/34-of-us-adults-have-used-chatgpt-about-double-the-share-in-2023/,2026-08-16,B,WebSearch摘要转述
F09,并网中位时长(请求到COD)-2008,22,months,2008,LBNL Queued Up 2025 Edition (via American Public Power Association转述),https://www.publicpower.org/periodical/article/backlog-power-plants-seeking-transmission-grid-connection-eased-somewhat-2025-lbnl,2026-08-16,B,"二手转述,非LBNL原始XLSX;仅3个年份点(2008/2015/2025),远不足以支撑F09要求的年度完整序列,必须补拉emp.lbl.gov原始数据"
F09,并网中位时长(请求到COD)-2015,36,months,2015,LBNL Queued Up 2025 Edition (via转述),https://www.publicpower.org/periodical/article/backlog-power-plants-seeking-transmission-grid-connection-eased-somewhat-2025-lbnl,2026-08-16,B,同上
F09,并网中位时长(请求到COD)-2025,61,months,2025,LBNL Queued Up 2025 Edition (via转述),https://www.publicpower.org/periodical/article/backlog-power-plants-seeking-transmission-grid-connection-eased-somewhat-2025-lbnl,2026-08-16,B,同上;此数字略高于文档草稿引用的"84个月"口径,两者可能统计不同环节(请求-COD vs 请求-并网协议),需与原始报告核对避免混用
F09,并网队列总容量-2025年末,2060,GW,2025-EOY,LBNL Queued Up 2025 Edition (via Latitude Media转述),https://www.latitudemedia.com/news/the-us-interconnection-queue-is-twice-its-installed-capacity/,2026-08-16,B,二手转述
F09,完成率(2000-2020申请截至2025年底),13,percent,2000-2020 cohort as of 2025,LBNL Queued Up 2025 Edition (via转述),https://www.publicpower.org/periodical/article/backlog-power-plants-seeking-transmission-grid-connection-eased-somewhat-2025-lbnl,2026-08-16,B,"同cohort撤回率75%+活跃10%+完成13%=98%,存在约2个百分点的口径缺口,需核对原始报告"
F09,2025年撤回容量,750,GW,2025,LBNL Queued Up 2025 Edition (via转述),https://www.publicpower.org/periodical/article/backlog-power-plants-seeking-transmission-grid-connection-eased-somewhat-2025-lbnl,2026-08-16,B,二手转述
