company,cik,fiscal_period_end,capex_usd,operating_cash_flow_usd,fcf_usd
MSFT,0000789019,2008-06-30,3182000000,21612000000,18430000000
MSFT,0000789019,2008-09-30,778000000,3370000000,2592000000
MSFT,0000789019,2008-12-31,842000000,5782000000,4940000000
MSFT,0000789019,2009-03-31,632000000,6044000000,5412000000
MSFT,0000789019,2009-06-30,3119000000,19037000000,15918000000
MSFT,0000789019,2009-09-30,435000000,6107000000,5672000000
MSFT,0000789019,2009-12-31,376000000,4969000000,4593000000
MSFT,0000789019,2010-03-31,408000000,7393000000,6985000000
MSFT,0000789019,2010-06-30,1977000000,24073000000,22096000000
MSFT,0000789019,2010-09-30,564000000,8194000000,7630000000
MSFT,0000789019,2010-12-31,491000000,4186000000,3695000000
MSFT,0000789019,2011-03-31,658000000,8672000000,8014000000
MSFT,0000789019,2011-06-30,2355000000,26994000000,24639000000
MSFT,0000789019,2011-09-30,436000000,8493000000,8057000000
MSFT,0000789019,2011-12-31,498000000,5862000000,5364000000
MSFT,0000789019,2012-03-31,749000000,9594000000,8845000000
MSFT,0000789019,2012-06-30,2305000000,22032000000,19727000000
MSFT,0000789019,2012-09-30,603000000,8484000000,7881000000
MSFT,0000789019,2012-12-31,930000000,4780000000,3850000000
MSFT,0000789019,2013-03-31,930000000,9666000000,8736000000
MSFT,0000789019,2013-06-30,4257000000,19167000000,14910000000
MSFT,0000789019,2013-09-30,1231000000,,
MSFT,0000789019,2013-12-31,1732000000,,
MSFT,0000789019,2014-03-31,1192000000,,
MSFT,0000789019,2014-06-30,5485000000,,
MSFT,0000789019,2014-09-30,1282000000,,
MSFT,0000789019,2014-12-31,1490000000,,
MSFT,0000789019,2015-03-31,1391000000,,
MSFT,0000789019,2015-06-30,5944000000,,
MSFT,0000789019,2015-09-30,1356000000,,
MSFT,0000789019,2015-12-31,2024000000,,
MSFT,0000789019,2016-03-31,2308000000,,
MSFT,0000789019,2016-06-30,8343000000,33325000000,24982000000
MSFT,0000789019,2016-09-30,2163000000,,
MSFT,0000789019,2016-12-31,1988000000,6293000000,4305000000
MSFT,0000789019,2017-03-31,1695000000,10660000000,8965000000
MSFT,0000789019,2017-06-30,8129000000,39507000000,31378000000
MSFT,0000789019,2017-09-30,2132000000,12440000000,10308000000
MSFT,0000789019,2017-12-31,2586000000,7875000000,5289000000
MSFT,0000789019,2018-03-31,2934000000,12151000000,9217000000
MSFT,0000789019,2018-06-30,11632000000,43884000000,32252000000
MSFT,0000789019,2018-09-30,3602000000,13657000000,10055000000
MSFT,0000789019,2018-12-31,3707000000,8900000000,5193000000
MSFT,0000789019,2019-03-31,2565000000,13520000000,10955000000
MSFT,0000789019,2019-06-30,13925000000,52185000000,38260000000
MSFT,0000789019,2019-09-30,3385000000,13818000000,10433000000
MSFT,0000789019,2019-12-31,3545000000,10680000000,7135000000
MSFT,0000789019,2020-03-31,3767000000,17504000000,13737000000
MSFT,0000789019,2020-06-30,15441000000,60675000000,45234000000
MSFT,0000789019,2020-09-30,4907000000,19335000000,14428000000
MSFT,0000789019,2020-12-31,4174000000,12516000000,8342000000
MSFT,0000789019,2021-03-31,5089000000,22179000000,17090000000
MSFT,0000789019,2021-06-30,20622000000,76740000000,56118000000
MSFT,0000789019,2021-09-30,5810000000,24540000000,18730000000
MSFT,0000789019,2021-12-31,5865000000,14480000000,8615000000
MSFT,0000789019,2022-03-31,5340000000,25386000000,20046000000
MSFT,0000789019,2022-06-30,23886000000,89035000000,65149000000
MSFT,0000789019,2022-09-30,6283000000,23198000000,16915000000
MSFT,0000789019,2022-12-31,6274000000,11173000000,4899000000
MSFT,0000789019,2023-03-31,6607000000,24441000000,17834000000
MSFT,0000789019,2023-06-30,28107000000,87582000000,59475000000
MSFT,0000789019,2023-09-30,9917000000,30583000000,20666000000
MSFT,0000789019,2023-12-31,9735000000,18853000000,9118000000
MSFT,0000789019,2024-03-31,10952000000,31917000000,20965000000
MSFT,0000789019,2024-06-30,44477000000,118548000000,74071000000
MSFT,0000789019,2024-09-30,14923000000,34180000000,19257000000
MSFT,0000789019,2024-12-31,15804000000,22291000000,6487000000
MSFT,0000789019,2025-03-31,16745000000,37044000000,20299000000
MSFT,0000789019,2025-06-30,47806000000,99118000000,51312000000
MSFT,0000789019,2025-09-30,19394000000,45057000000,25663000000
MSFT,0000789019,2025-12-31,29876000000,35758000000,5882000000
MSFT,0000789019,2026-03-31,30876000000,46679000000,15803000000
MSFT,0000789019,2026-06-30,85072000000,136256000000,51184000000
AMZN,0001018724,2007-12-31,224000000,1405000000,1181000000
AMZN,0001018724,2008-06-30,69000000,347000000,278000000
AMZN,0001018724,2008-09-30,102000000,424000000,322000000
AMZN,0001018724,2008-12-31,333000000,1697000000,1364000000
AMZN,0001018724,2009-03-31,55000000,-585000000,-640000000
AMZN,0001018724,2009-06-30,78000000,468000000,390000000
AMZN,0001018724,2009-09-30,103000000,799000000,696000000
AMZN,0001018724,2009-12-31,373000000,3293000000,2920000000
AMZN,0001018724,2010-03-31,140000000,-1098000000,-1238000000
AMZN,0001018724,2010-06-30,196000000,250000000,54000000
AMZN,0001018724,2010-09-30,315000000,855000000,540000000
AMZN,0001018724,2010-12-31,979000000,3495000000,2516000000
AMZN,0001018724,2011-03-31,298000000,-1586000000,-1884000000
AMZN,0001018724,2011-06-30,433000000,423000000,-10000000
AMZN,0001018724,2011-09-30,529000000,797000000,268000000
AMZN,0001018724,2011-12-31,1811000000,3903000000,2092000000
AMZN,0001018724,2012-03-31,386000000,-2438000000,-2824000000
AMZN,0001018724,2012-06-30,657000000,594000000,-63000000
AMZN,0001018724,2012-09-30,716000000,943000000,227000000
AMZN,0001018724,2012-12-31,3785000000,4180000000,395000000
AMZN,0001018724,2013-03-31,670000000,-2372000000,-3042000000
AMZN,0001018724,2013-06-30,855000000,880000000,25000000
AMZN,0001018724,2013-09-30,1038000000,1388000000,350000000
AMZN,0001018724,2013-12-31,3444000000,5475000000,2031000000
AMZN,0001018724,2014-03-31,1080000000,-2502000000,-3582000000
AMZN,0001018724,2014-06-30,1290000000,862000000,-428000000
AMZN,0001018724,2014-09-30,1378000000,1766000000,388000000
AMZN,0001018724,2014-12-31,4893000000,6842000000,1949000000
AMZN,0001018724,2015-03-31,871000000,-1499000000,-2370000000
AMZN,0001018724,2015-06-30,1213000000,1997000000,784000000
AMZN,0001018724,2015-09-30,1195000000,2610000000,1415000000
AMZN,0001018724,2015-12-31,3394000000,12039000000,8645000000
AMZN,0001018724,2016-03-31,1179000000,-1953000000,-3132000000
AMZN,0001018724,2016-06-30,1711000000,3578000000,1867000000
AMZN,0001018724,2016-09-30,1841000000,4659000000,2818000000
AMZN,0001018724,2016-12-31,4896000000,17203000000,12307000000
AMZN,0001018724,2017-03-31,1861000000,-1619000000,-3480000000
AMZN,0001018724,2017-06-30,,3850000000,
AMZN,0001018724,2017-09-30,,3777000000,
AMZN,0001018724,2017-12-31,,18365000000,
AMZN,0001018724,2018-03-31,,-1791000000,
AMZN,0001018724,2018-06-30,,7449000000,
AMZN,0001018724,2018-09-30,,8588000000,
AMZN,0001018724,2018-12-31,,30723000000,
AMZN,0001018724,2019-03-31,,1846000000,
AMZN,0001018724,2019-06-30,,9118000000,
AMZN,0001018724,2019-09-30,,7892000000,
AMZN,0001018724,2019-12-31,,38514000000,
AMZN,0001018724,2020-03-31,,3064000000,
AMZN,0001018724,2020-06-30,,20606000000,
AMZN,0001018724,2020-09-30,,11964000000,
AMZN,0001018724,2020-12-31,,66064000000,
AMZN,0001018724,2021-03-31,,4213000000,
AMZN,0001018724,2021-06-30,,12715000000,
AMZN,0001018724,2021-09-30,,7313000000,
AMZN,0001018724,2021-12-31,,46327000000,
AMZN,0001018724,2022-03-31,,-2790000000,
AMZN,0001018724,2022-06-30,,8965000000,
AMZN,0001018724,2022-09-30,,11404000000,
AMZN,0001018724,2022-12-31,,46752000000,
AMZN,0001018724,2023-03-31,,4788000000,
AMZN,0001018724,2023-06-30,,16476000000,
AMZN,0001018724,2023-09-30,,21217000000,
AMZN,0001018724,2023-12-31,,84946000000,
AMZN,0001018724,2024-03-31,,18989000000,
AMZN,0001018724,2024-06-30,,25281000000,
AMZN,0001018724,2024-09-30,,25971000000,
AMZN,0001018724,2024-12-31,,89906000000,
AMZN,0001018724,2025-03-31,,17015000000,
AMZN,0001018724,2025-06-30,,32515000000,
AMZN,0001018724,2025-09-30,,35525000000,
AMZN,0001018724,2025-12-31,,103989000000,
AMZN,0001018724,2026-03-31,,26032000000,
AMZN,0001018724,2026-06-30,,45387000000,
GOOGL,0001652044,2013-12-31,7358000000,18659000000,11301000000
GOOGL,0001652044,2014-09-30,50000000,-2647000000,-2697000000
GOOGL,0001652044,2014-12-31,11014000000,23024000000,12010000000
GOOGL,0001652044,2015-03-31,2927000000,6722000000,3795000000
GOOGL,0001652044,2015-06-30,2515000000,7096000000,4581000000
GOOGL,0001652044,2015-09-30,2383000000,6145000000,3762000000
GOOGL,0001652044,2015-12-31,9950000000,26572000000,16622000000
GOOGL,0001652044,2016-03-31,2444000000,7658000000,5214000000
GOOGL,0001652044,2016-06-30,2136000000,9120000000,6984000000
GOOGL,0001652044,2016-09-30,2554000000,9845000000,7291000000
GOOGL,0001652044,2016-12-31,10212000000,36036000000,25824000000
GOOGL,0001652044,2017-03-31,2508000000,9548000000,7040000000
GOOGL,0001652044,2017-06-30,2831000000,7403000000,4572000000
GOOGL,0001652044,2017-09-30,3538000000,9872000000,6334000000
GOOGL,0001652044,2017-12-31,13184000000,37091000000,23907000000
GOOGL,0001652044,2018-03-31,7299000000,11642000000,4343000000
GOOGL,0001652044,2018-06-30,5477000000,10132000000,4655000000
GOOGL,0001652044,2018-09-30,5282000000,13210000000,7928000000
GOOGL,0001652044,2018-12-31,25139000000,47971000000,22832000000
GOOGL,0001652044,2019-03-31,4638000000,12000000000,7362000000
GOOGL,0001652044,2019-06-30,6126000000,12627000000,6501000000
GOOGL,0001652044,2019-09-30,6732000000,15466000000,8734000000
GOOGL,0001652044,2019-12-31,23548000000,54520000000,30972000000
GOOGL,0001652044,2020-03-31,6005000000,11451000000,5446000000
GOOGL,0001652044,2020-06-30,5391000000,13993000000,8602000000
GOOGL,0001652044,2020-09-30,5406000000,17003000000,11597000000
GOOGL,0001652044,2020-12-31,22281000000,65124000000,42843000000
GOOGL,0001652044,2021-03-31,5942000000,19289000000,13347000000
GOOGL,0001652044,2021-06-30,5496000000,21890000000,16394000000
GOOGL,0001652044,2021-09-30,6819000000,25539000000,18720000000
GOOGL,0001652044,2021-12-31,24640000000,91652000000,67012000000
GOOGL,0001652044,2022-03-31,9786000000,25106000000,15320000000
GOOGL,0001652044,2022-06-30,6828000000,19422000000,12594000000
GOOGL,0001652044,2022-09-30,7276000000,23353000000,16077000000
GOOGL,0001652044,2022-12-31,31485000000,91495000000,60010000000
GOOGL,0001652044,2023-03-31,6289000000,23509000000,17220000000
GOOGL,0001652044,2023-06-30,6888000000,28666000000,21778000000
GOOGL,0001652044,2023-09-30,8055000000,30656000000,22601000000
GOOGL,0001652044,2023-12-31,32251000000,101746000000,69495000000
GOOGL,0001652044,2024-03-31,12012000000,28848000000,16836000000
GOOGL,0001652044,2024-06-30,13186000000,26640000000,13454000000
GOOGL,0001652044,2024-09-30,13061000000,30698000000,17637000000
GOOGL,0001652044,2024-12-31,14276000000,39113000000,24837000000
GOOGL,0001652044,2025-03-31,17197000000,36150000000,18953000000
GOOGL,0001652044,2025-06-30,22446000000,27747000000,5301000000
GOOGL,0001652044,2025-09-30,23953000000,48414000000,24461000000
GOOGL,0001652044,2025-12-31,27851000000,52402000000,24551000000
GOOGL,0001652044,2026-03-31,35674000000,45790000000,10116000000
GOOGL,0001652044,2026-06-30,44924000000,39069000000,-5855000000
META,0001326801,2010-12-31,293000000,698000000,405000000
META,0001326801,2011-06-30,-8000000,-224000000,-216000000
META,0001326801,2011-09-30,136000000,565000000,429000000
META,0001326801,2011-12-31,606000000,1549000000,943000000
META,0001326801,2012-03-31,453000000,441000000,-12000000
META,0001326801,2012-06-30,413000000,240000000,-173000000
META,0001326801,2012-09-30,171000000,250000000,79000000
META,0001326801,2012-12-31,1235000000,1612000000,377000000
META,0001326801,2013-03-31,327000000,719000000,392000000
META,0001326801,2013-06-30,268000000,1322000000,1054000000
META,0001326801,2013-09-30,284000000,950000000,666000000
META,0001326801,2013-12-31,1362000000,4222000000,2860000000
META,0001326801,2014-03-31,363000000,1285000000,922000000
META,0001326801,2014-06-30,469000000,1341000000,872000000
META,0001326801,2014-09-30,482000000,1248000000,766000000
META,0001326801,2014-12-31,1831000000,7326000000,5495000000
META,0001326801,2015-03-31,502000000,1700000000,1198000000
META,0001326801,2015-06-30,549000000,1880000000,1331000000
META,0001326801,2015-09-30,780000000,2192000000,1412000000
META,0001326801,2015-12-31,2523000000,10320000000,7797000000
META,0001326801,2016-03-31,1132000000,3477000000,2345000000
META,0001326801,2016-06-30,995000000,3665000000,2670000000
META,0001326801,2016-09-30,1095000000,4036000000,2941000000
META,0001326801,2016-12-31,4491000000,16108000000,11617000000
META,0001326801,2017-03-31,1271000000,5058000000,3787000000
META,0001326801,2017-06-30,1444000000,5360000000,3916000000
META,0001326801,2017-09-30,1755000000,6127000000,4372000000
META,0001326801,2017-12-31,6733000000,24216000000,17483000000
META,0001326801,2018-03-31,2812000000,7860000000,5048000000
META,0001326801,2018-06-30,3460000000,6298000000,2838000000
META,0001326801,2018-09-30,3342000000,7498000000,4156000000
META,0001326801,2018-12-31,13915000000,29274000000,15359000000
META,0001326801,2019-03-31,3837000000,9308000000,5471000000
META,0001326801,2019-06-30,3633000000,8616000000,4983000000
META,0001326801,2019-09-30,3532000000,9307000000,5775000000
META,0001326801,2019-12-31,15102000000,36314000000,21212000000
META,0001326801,2020-03-31,3558000000,11001000000,7443000000
META,0001326801,2020-06-30,3255000000,3877000000,622000000
META,0001326801,2020-09-30,3689000000,9829000000,6140000000
META,0001326801,2020-12-31,15163000000,38747000000,23584000000
META,0001326801,2021-03-31,4303000000,12242000000,7939000000
META,0001326801,2021-06-30,4641000000,13247000000,8606000000
META,0001326801,2021-09-30,4346000000,14090000000,9744000000
META,0001326801,2021-12-31,18690000000,57683000000,38993000000
META,0001326801,2022-03-31,5441000000,14076000000,8635000000
META,0001326801,2022-06-30,7572000000,12196000000,4624000000
META,0001326801,2022-09-30,9375000000,9692000000,317000000
META,0001326801,2022-12-31,31186000000,50475000000,19289000000
META,0001326801,2023-03-31,6823000000,13998000000,7175000000
META,0001326801,2023-06-30,6134000000,17309000000,11175000000
META,0001326801,2023-09-30,6496000000,20402000000,13906000000
META,0001326801,2023-12-31,27045000000,71113000000,44068000000
META,0001326801,2024-03-31,6400000000,19246000000,12846000000
META,0001326801,2024-06-30,8173000000,19370000000,11197000000
META,0001326801,2024-09-30,8258000000,24724000000,16466000000
META,0001326801,2024-12-31,14425000000,27988000000,13563000000
META,0001326801,2025-03-31,12941000000,24026000000,11085000000
META,0001326801,2025-06-30,16538000000,25561000000,9023000000
META,0001326801,2025-09-30,18829000000,29999000000,11170000000
META,0001326801,2025-12-31,21383000000,36214000000,14831000000
META,0001326801,2026-03-31,18997000000,32226000000,13229000000
META,0001326801,2026-06-30,30116000000,31862000000,1746000000
